HCHO Reading,Location,Current Date,Next Date
0.0001217725225117,"Deniyaya, Matara",2019-06-16,2019-06-17
,"Deniyaya, Matara",2019-06-17,2019-06-18
-1.1336369400820557e-05,"Deniyaya, Matara",2019-06-18,2019-06-19
,"Deniyaya, Matara",2019-06-19,2019-06-20
3.626547253389472e-05,"Deniyaya, Matara",2019-06-20,2019-06-21
,"Deniyaya, Matara",2019-06-21,2019-06-22
,"Deniyaya, Matara",2019-06-22,2019-06-23
,"Deniyaya, Matara",2019-06-23,2019-06-24
,"Deniyaya, Matara",2019-06-24,2019-06-25
3.066723729716614e-05,"Deniyaya, Matara",2019-06-25,2019-06-26
5.938476593081348e-05,"Deniyaya, Matara",2019-06-26,2019-06-27
0.0001501880620112,"Deniyaya, Matara",2019-06-27,2019-06-28
8.48560045610269e-08,"Deniyaya, Matara",2019-06-28,2019-06-29
1.865870755620224e-05,"Deniyaya, Matara",2019-06-29,2019-06-30
8.076289701838124e-05,"Deniyaya, Matara",2019-06-30,2019-07-01
0.0001565128040965,"Deniyaya, Matara",2019-07-01,2019-07-02
7.822883224906507e-05,"Deniyaya, Matara",2019-07-02,2019-07-03
,"Deniyaya, Matara",2019-07-03,2019-07-04
6.491148472259721e-05,"Deniyaya, Matara",2019-07-04,2019-07-05
0.0001015658193247,"Deniyaya, Matara",2019-07-05,2019-07-06
0.0001854224783202,"Deniyaya, Matara",2019-07-06,2019-07-07
9.519535246307652e-05,"Deniyaya, Matara",2019-07-07,2019-07-08
0.000122118023414,"Deniyaya, Matara",2019-07-08,2019-07-09
,"Deniyaya, Matara",2019-07-09,2019-07-10
3.5168823276630766e-05,"Deniyaya, Matara",2019-07-10,2019-07-11
9.399985364620808e-05,"Deniyaya, Matara",2019-07-11,2019-07-12
9.815205823701609e-05,"Deniyaya, Matara",2019-07-12,2019-07-13
0.000155182766871,"Deniyaya, Matara",2019-07-13,2019-07-14
3.06090383772373e-05,"Deniyaya, Matara",2019-07-14,2019-07-15
,"Deniyaya, Matara",2019-07-15,2019-07-16
3.9205342571432974e-05,"Deniyaya, Matara",2019-07-16,2019-07-17
,"Deniyaya, Matara",2019-07-17,2019-07-18
,"Deniyaya, Matara",2019-07-18,2019-07-19
,"Deniyaya, Matara",2019-07-19,2019-07-20
,"Deniyaya, Matara",2019-07-20,2019-07-21
,"Deniyaya, Matara",2019-07-21,2019-07-22
,"Deniyaya, Matara",2019-07-22,2019-07-23
2.7530496770538245e-05,"Deniyaya, Matara",2019-07-23,2019-07-24
1.917795009592158e-06,"Deniyaya, Matara",2019-07-24,2019-07-25
,"Deniyaya, Matara",2019-07-25,2019-07-26
-1.7439164260629638e-05,"Deniyaya, Matara",2019-07-26,2019-07-27
1.6406873869175554e-05,"Deniyaya, Matara",2019-07-27,2019-07-28
-4.995843540715808e-06,"Deniyaya, Matara",2019-07-28,2019-07-29
0.0001339288013077,"Deniyaya, Matara",2019-07-29,2019-07-30
-7.03567768815656e-05,"Deniyaya, Matara",2019-07-30,2019-07-31
3.6934841833654336e-05,"Deniyaya, Matara",2019-07-31,2019-08-01
6.79387627216613e-05,"Deniyaya, Matara",2019-08-01,2019-08-02
,"Deniyaya, Matara",2019-08-02,2019-08-03
0.0001027113576807,"Deniyaya, Matara",2019-08-03,2019-08-04
7.763261304247379e-05,"Deniyaya, Matara",2019-08-04,2019-08-05
5.245533362906521e-05,"Deniyaya, Matara",2019-08-05,2019-08-06
,"Deniyaya, Matara",2019-08-06,2019-08-07
,"Deniyaya, Matara",2019-08-07,2019-08-08
,"Deniyaya, Matara",2019-08-08,2019-08-09
,"Deniyaya, Matara",2019-08-09,2019-08-10
,"Deniyaya, Matara",2019-08-10,2019-08-11
,"Deniyaya, Matara",2019-08-11,2019-08-12
-1.6567200397283402e-05,"Deniyaya, Matara",2019-08-12,2019-08-13
,"Deniyaya, Matara",2019-08-13,2019-08-14
,"Deniyaya, Matara",2019-08-14,2019-08-15
,"Deniyaya, Matara",2019-08-15,2019-08-16
,"Deniyaya, Matara",2019-08-16,2019-08-17
,"Deniyaya, Matara",2019-08-17,2019-08-18
4.8707759228402166e-05,"Deniyaya, Matara",2019-08-18,2019-08-19
1.187302498785714e-05,"Deniyaya, Matara",2019-08-19,2019-08-20
0.0002373940806137,"Deniyaya, Matara",2019-08-20,2019-08-21
,"Deniyaya, Matara",2019-08-21,2019-08-22
,"Deniyaya, Matara",2019-08-22,2019-08-23
,"Deniyaya, Matara",2019-08-23,2019-08-24
,"Deniyaya, Matara",2019-08-24,2019-08-25
,"Deniyaya, Matara",2019-08-25,2019-08-26
,"Deniyaya, Matara",2019-08-26,2019-08-27
,"Deniyaya, Matara",2019-08-27,2019-08-28
,"Deniyaya, Matara",2019-08-28,2019-08-29
6.798230223314625e-05,"Deniyaya, Matara",2019-08-29,2019-08-30
0.0001003325498068,"Deniyaya, Matara",2019-08-30,2019-08-31
,"Deniyaya, Matara",2019-08-31,2019-09-01
,"Deniyaya, Matara",2019-09-01,2019-09-02
6.411903520786512e-05,"Deniyaya, Matara",2019-09-02,2019-09-03
9.78157384524139e-05,"Deniyaya, Matara",2019-09-03,2019-09-04
9.791662909121674e-05,"Deniyaya, Matara",2019-09-04,2019-09-05
,"Deniyaya, Matara",2019-09-05,2019-09-06
,"Deniyaya, Matara",2019-09-06,2019-09-07
7.900931868731356e-05,"Deniyaya, Matara",2019-09-07,2019-09-08
-1.9800126716534245e-05,"Deniyaya, Matara",2019-09-08,2019-09-09
4.326489287765812e-05,"Deniyaya, Matara",2019-09-09,2019-09-10
4.263753551153884e-05,"Deniyaya, Matara",2019-09-10,2019-09-11
,"Deniyaya, Matara",2019-09-11,2019-09-12
8.720108094777346e-05,"Deniyaya, Matara",2019-09-12,2019-09-13
7.855770871679348e-05,"Deniyaya, Matara",2019-09-13,2019-09-14
,"Deniyaya, Matara",2019-09-14,2019-09-15
,"Deniyaya, Matara",2019-09-15,2019-09-16
,"Deniyaya, Matara",2019-09-16,2019-09-17
,"Deniyaya, Matara",2019-09-17,2019-09-18
,"Deniyaya, Matara",2019-09-18,2019-09-19
,"Deniyaya, Matara",2019-09-19,2019-09-20
,"Deniyaya, Matara",2019-09-20,2019-09-21
2.78876797254711e-05,"Deniyaya, Matara",2019-09-21,2019-09-22
,"Deniyaya, Matara",2019-09-22,2019-09-23
,"Deniyaya, Matara",2019-09-23,2019-09-24
,"Deniyaya, Matara",2019-09-24,2019-09-25
,"Deniyaya, Matara",2019-09-25,2019-09-26
,"Deniyaya, Matara",2019-09-26,2019-09-27
,"Deniyaya, Matara",2019-09-27,2019-09-28
,"Deniyaya, Matara",2019-09-28,2019-09-29
8.320224946993188e-05,"Deniyaya, Matara",2019-09-29,2019-09-30
1.9647603158705263e-05,"Deniyaya, Matara",2019-09-30,2019-10-01
0.000117836499168,"Deniyaya, Matara",2019-10-01,2019-10-02
,"Deniyaya, Matara",2019-10-02,2019-10-03
,"Deniyaya, Matara",2019-10-03,2019-10-04
-0.0001226669264724,"Deniyaya, Matara",2019-10-04,2019-10-05
,"Deniyaya, Matara",2019-10-05,2019-10-06
4.612769316736376e-06,"Deniyaya, Matara",2019-10-06,2019-10-07
-5.005087337895441e-06,"Deniyaya, Matara",2019-10-07,2019-10-08
,"Deniyaya, Matara",2019-10-08,2019-10-09
,"Deniyaya, Matara",2019-10-09,2019-10-10
,"Deniyaya, Matara",2019-10-10,2019-10-11
,"Deniyaya, Matara",2019-10-11,2019-10-12
,"Deniyaya, Matara",2019-10-12,2019-10-13
7.59858494096762e-05,"Deniyaya, Matara",2019-10-13,2019-10-14
1.83682831601389e-05,"Deniyaya, Matara",2019-10-14,2019-10-15
,"Deniyaya, Matara",2019-10-15,2019-10-16
,"Deniyaya, Matara",2019-10-16,2019-10-17
0.0002317053602408,"Deniyaya, Matara",2019-10-17,2019-10-18
,"Deniyaya, Matara",2019-10-18,2019-10-19
,"Deniyaya, Matara",2019-10-19,2019-10-20
,"Deniyaya, Matara",2019-10-20,2019-10-21
,"Deniyaya, Matara",2019-10-21,2019-10-22
,"Deniyaya, Matara",2019-10-22,2019-10-23
,"Deniyaya, Matara",2019-10-23,2019-10-24
,"Deniyaya, Matara",2019-10-24,2019-10-25
,"Deniyaya, Matara",2019-10-25,2019-10-26
,"Deniyaya, Matara",2019-10-26,2019-10-27
,"Deniyaya, Matara",2019-10-27,2019-10-28
,"Deniyaya, Matara",2019-10-28,2019-10-29
,"Deniyaya, Matara",2019-10-29,2019-10-30
