HCHO Reading,Location,Current Date,Next Date
6.158150381875033e-05,Jaffna Proper,2020-03-30,2020-03-31
0.0001108522401885,Jaffna Proper,2020-03-31,2020-04-01
0.0001027608751676,Jaffna Proper,2020-04-01,2020-04-02
0.0001227403517949,Jaffna Proper,2020-04-02,2020-04-03
0.0002529422725345,Jaffna Proper,2020-04-03,2020-04-04
,Jaffna Proper,2020-04-04,2020-04-05
0.0002338340740797,Jaffna Proper,2020-04-05,2020-04-06
0.0001683892937898,Jaffna Proper,2020-04-06,2020-04-07
9.056911133839808e-05,Jaffna Proper,2020-04-07,2020-04-08
0.0001290781152126,Jaffna Proper,2020-04-08,2020-04-09
4.690559231945951e-05,Jaffna Proper,2020-04-09,2020-04-10
0.0001520213258079,Jaffna Proper,2020-04-10,2020-04-11
5.027964589964536e-05,Jaffna Proper,2020-04-11,2020-04-12
4.513961560020827e-05,Jaffna Proper,2020-04-12,2020-04-13
0.0001631164219124,Jaffna Proper,2020-04-13,2020-04-14
0.000283783996495,Jaffna Proper,2020-04-14,2020-04-15
0.0001159449377934,Jaffna Proper,2020-04-15,2020-04-16
0.0001154208731447,Jaffna Proper,2020-04-16,2020-04-17
0.0001165165123235,Jaffna Proper,2020-04-17,2020-04-18
8.968148767499954e-05,Jaffna Proper,2020-04-18,2020-04-19
,Jaffna Proper,2020-04-19,2020-04-20
0.0001520928384092,Jaffna Proper,2020-04-20,2020-04-21
0.0002415162310073,Jaffna Proper,2020-04-21,2020-04-22
,Jaffna Proper,2020-04-22,2020-04-23
0.0001099499021614,Jaffna Proper,2020-04-23,2020-04-24
0.0001060280670544,Jaffna Proper,2020-04-24,2020-04-25
-3.452225587387767e-05,Jaffna Proper,2020-04-25,2020-04-26
0.0002320451333913,Jaffna Proper,2020-04-26,2020-04-27
0.0002090258749655,Jaffna Proper,2020-04-27,2020-04-28
0.0002639297938365,Jaffna Proper,2020-04-28,2020-04-29
0.0001324997248577,Jaffna Proper,2020-04-29,2020-04-30
,Jaffna Proper,2020-04-30,2020-05-01
0.0001789679199394,Jaffna Proper,2020-05-01,2020-05-02
0.000196557603559,Jaffna Proper,2020-05-02,2020-05-03
0.000109154347012,Jaffna Proper,2020-05-03,2020-05-04
0.000166265690893,Jaffna Proper,2020-05-04,2020-05-05
0.0001238404944844,Jaffna Proper,2020-05-05,2020-05-06
0.0001016972921468,Jaffna Proper,2020-05-06,2020-05-07
0.0001067815218725,Jaffna Proper,2020-05-07,2020-05-08
-4.834844794744359e-06,Jaffna Proper,2020-05-08,2020-05-09
0.0001331738381342,Jaffna Proper,2020-05-09,2020-05-10
,Jaffna Proper,2020-05-10,2020-05-11
,Jaffna Proper,2020-05-11,2020-05-12
,Jaffna Proper,2020-05-12,2020-05-13
4.8143049467005975e-05,Jaffna Proper,2020-05-13,2020-05-14
0.0001348957997132,Jaffna Proper,2020-05-14,2020-05-15
1.2380205516959338e-05,Jaffna Proper,2020-05-15,2020-05-16
,Jaffna Proper,2020-05-16,2020-05-17
0.000333532832967,Jaffna Proper,2020-05-17,2020-05-18
9.935139374610612e-06,Jaffna Proper,2020-05-18,2020-05-19
0.0001866653264254,Jaffna Proper,2020-05-19,2020-05-20
9.984176586684292e-05,Jaffna Proper,2020-05-20,2020-05-21
0.0001535994041582,Jaffna Proper,2020-05-21,2020-05-22
7.777206176159074e-05,Jaffna Proper,2020-05-22,2020-05-23
0.0001829154374963,Jaffna Proper,2020-05-23,2020-05-24
0.0002101905479669,Jaffna Proper,2020-05-24,2020-05-25
0.0001945721247896,Jaffna Proper,2020-05-25,2020-05-26
9.97743855857502e-05,Jaffna Proper,2020-05-26,2020-05-27
0.0002349140331831,Jaffna Proper,2020-05-27,2020-05-28
0.0002475788880573,Jaffna Proper,2020-05-28,2020-05-29
9.553155879928772e-05,Jaffna Proper,2020-05-29,2020-05-30
6.485041436881364e-05,Jaffna Proper,2020-05-30,2020-05-31
7.680545336460125e-05,Jaffna Proper,2020-05-31,2020-06-01
6.290528738022413e-05,Jaffna Proper,2020-06-01,2020-06-02
5.548681821372904e-05,Jaffna Proper,2020-06-02,2020-06-03
7.928967046339835e-05,Jaffna Proper,2020-06-03,2020-06-04
4.191963136128963e-05,Jaffna Proper,2020-06-04,2020-06-05
7.336405521076968e-05,Jaffna Proper,2020-06-05,2020-06-06
9.408242415913266e-05,Jaffna Proper,2020-06-06,2020-06-07
5.9975120876535073e-05,Jaffna Proper,2020-06-07,2020-06-08
0.0001025361008137,Jaffna Proper,2020-06-08,2020-06-09
0.0001555771223399,Jaffna Proper,2020-06-09,2020-06-10
,Jaffna Proper,2020-06-10,2020-06-11
,Jaffna Proper,2020-06-11,2020-06-12
,Jaffna Proper,2020-06-12,2020-06-13
0.0001193466506037,Jaffna Proper,2020-06-13,2020-06-14
0.0001056400904104,Jaffna Proper,2020-06-14,2020-06-15
4.3203978374383726e-05,Jaffna Proper,2020-06-15,2020-06-16
0.000106470346262,Jaffna Proper,2020-06-16,2020-06-17
8.606755502567851e-05,Jaffna Proper,2020-06-17,2020-06-18
0.0001537568275644,Jaffna Proper,2020-06-18,2020-06-19
0.0001995695912848,Jaffna Proper,2020-06-19,2020-06-20
0.0002806105792137,Jaffna Proper,2020-06-20,2020-06-21
0.0002159666037065,Jaffna Proper,2020-06-21,2020-06-22
2.599099656155993e-05,Jaffna Proper,2020-06-22,2020-06-23
,Jaffna Proper,2020-06-23,2020-06-24
,Jaffna Proper,2020-06-24,2020-06-25
,Jaffna Proper,2020-06-25,2020-06-26
0.0001053230766341,Jaffna Proper,2020-06-26,2020-06-27
0.0001892565522346,Jaffna Proper,2020-06-27,2020-06-28
8.38386486519902e-05,Jaffna Proper,2020-06-28,2020-06-29
5.390430190512162e-05,Jaffna Proper,2020-06-29,2020-06-30
6.087503383036571e-07,Jaffna Proper,2020-06-30,2020-07-01
0.0001555921192232,Jaffna Proper,2020-07-01,2020-07-02
0.0001006371466017,Jaffna Proper,2020-07-02,2020-07-03
0.0001625763301523,Jaffna Proper,2020-07-03,2020-07-04
,Jaffna Proper,2020-07-04,2020-07-05
0.0001256631641689,Jaffna Proper,2020-07-05,2020-07-06
0.0002094621474927,Jaffna Proper,2020-07-06,2020-07-07
0.0001121799219966,Jaffna Proper,2020-07-07,2020-07-08
,Jaffna Proper,2020-07-08,2020-07-09
0.0001096902229289,Jaffna Proper,2020-07-09,2020-07-10
0.000168233264325,Jaffna Proper,2020-07-10,2020-07-11
6.57890046889866e-05,Jaffna Proper,2020-07-11,2020-07-12
0.0001280705970486,Jaffna Proper,2020-07-12,2020-07-13
,Jaffna Proper,2020-07-13,2020-07-14
9.572750509226032e-05,Jaffna Proper,2020-07-14,2020-07-15
0.0002100240482514,Jaffna Proper,2020-07-15,2020-07-16
,Jaffna Proper,2020-07-16,2020-07-17
7.072853741213175e-05,Jaffna Proper,2020-07-17,2020-07-18
0.000128548829336,Jaffna Proper,2020-07-18,2020-07-19
6.917711054413058e-05,Jaffna Proper,2020-07-19,2020-07-20
8.196033469791825e-05,Jaffna Proper,2020-07-20,2020-07-21
8.094288597720013e-05,Jaffna Proper,2020-07-21,2020-07-22
9.657327828003524e-05,Jaffna Proper,2020-07-22,2020-07-23
0.0001624457679209,Jaffna Proper,2020-07-23,2020-07-24
3.102851971107136e-05,Jaffna Proper,2020-07-24,2020-07-25
8.462243179580669e-05,Jaffna Proper,2020-07-25,2020-07-26
0.0001252621670997,Jaffna Proper,2020-07-26,2020-07-27
9.084737101771016e-05,Jaffna Proper,2020-07-27,2020-07-28
,Jaffna Proper,2020-07-28,2020-07-29
,Jaffna Proper,2020-07-29,2020-07-30
6.849609548364072e-05,Jaffna Proper,2020-07-30,2020-07-31
0.0001836154119793,Jaffna Proper,2020-07-31,2020-08-01
9.895708212557492e-05,Jaffna Proper,2020-08-01,2020-08-02
,Jaffna Proper,2020-08-02,2020-08-03
,Jaffna Proper,2020-08-03,2020-08-04
,Jaffna Proper,2020-08-04,2020-08-05
0.0001893279020776,Jaffna Proper,2020-08-05,2020-08-06
,Jaffna Proper,2020-08-06,2020-08-07
4.623884817889911e-05,Jaffna Proper,2020-08-07,2020-08-08
3.1402281687377785e-05,Jaffna Proper,2020-08-08,2020-08-09
,Jaffna Proper,2020-08-09,2020-08-10
0.000173287314087,Jaffna Proper,2020-08-10,2020-08-11
3.579633433719386e-05,Jaffna Proper,2020-08-11,2020-08-12
0.0002158419302078,Jaffna Proper,2020-08-12,2020-08-13
6.390609733274188e-05,Jaffna Proper,2020-08-13,2020-08-14
8.988842353902665e-05,Jaffna Proper,2020-08-14,2020-08-15
,Jaffna Proper,2020-08-15,2020-08-16
,Jaffna Proper,2020-08-16,2020-08-17
0.0002243520041265,Jaffna Proper,2020-08-17,2020-08-18
0.0001102404666888,Jaffna Proper,2020-08-18,2020-08-19
9.656689333151122e-05,Jaffna Proper,2020-08-19,2020-08-20
0.0001117597820316,Jaffna Proper,2020-08-20,2020-08-21
1.2021075188652254e-06,Jaffna Proper,2020-08-21,2020-08-22
7.358659369716482e-05,Jaffna Proper,2020-08-22,2020-08-23
6.084471957102083e-05,Jaffna Proper,2020-08-23,2020-08-24
8.528656568768336e-05,Jaffna Proper,2020-08-24,2020-08-25
5.593251873762319e-05,Jaffna Proper,2020-08-25,2020-08-26
0.0001085680228629,Jaffna Proper,2020-08-26,2020-08-27
6.902942806418149e-05,Jaffna Proper,2020-08-27,2020-08-28
0.0001366811528888,Jaffna Proper,2020-08-28,2020-08-29
0.0001006012918586,Jaffna Proper,2020-08-29,2020-08-30
